path,text,duration
files/miniTrain/common_voice_en_37476269.wav,this led to both the red terror and the white terror,4.896
files/miniTrain/common_voice_en_37740889.wav,paper wine labels have long been collected,3.168
files/miniTrain/common_voice_en_37607972.wav,the number of chime sets matches the number of quarter hours that have passed,5.976
files/miniTrain/common_voice_en_37437567.wav,the atbara flows only while there is rain in ethiopia and dries very rapidly,8.208
files/miniTrain/common_voice_en_37288403.wav,katsande and her son were accused of voter intimidation,4.824
files/miniTrain/common_voice_en_37306834.wav,data was stored in bigendian format,3.996
files/miniTrain/common_voice_en_37389720.wav,gluck is grandmother to actress stephanie zimbalist,4.32
files/miniTrain/common_voice_en_37614458.wav,she has written about it in the sun and in pensions week,4.356
files/miniTrain/common_voice_en_37433497.wav,a basketball was too heavy while the basketball bladder was too light,5.327999999999999
files/miniTrain/common_voice_en_38006516.wav,todman was born and raised in the united states virgin islands,6.408
files/miniTrain/common_voice_en_37506916.wav,it was the first and last time hitler watched a football match,5.327999999999999
files/miniTrain/common_voice_en_37463815.wav,the book contains coleridges celebrated and vexed distinction between imagination and fancy,6.5520000000000005
files/miniTrain/common_voice_en_37511524.wav,mech looks at hightech policing in the future,5.327999999999999
files/miniTrain/common_voice_en_37475392.wav,he gives you confidence,3.924
files/miniTrain/common_voice_en_37617995.wav,morgan received figure along with two other horses as payment of a debt,6.803999999999999
files/miniTrain/common_voice_en_37543489.wav,amateur champion who went on to play the champions tour,5.436
files/miniTrain/common_voice_en_37364201.wav,our ability to do good things for people,5.0760000000000005
files/miniTrain/common_voice_en_37473806.wav,the band made some recordings with producer tom dowd overseeing but they were scrapped,6.12
files/miniTrain/common_voice_en_37506196.wav,eventually koss dominated the headphone market competing mainly with telex,7.452000000000001
files/miniTrain/common_voice_en_37673682.wav,different systems define different sets of digraphs and trigraphs as described below,6.3
files/miniTrain/common_voice_en_37402787.wav,carlos barbosa were the defending champions,5.327999999999999
files/miniTrain/common_voice_en_37406712.wav,tulsita is served by the pettus independent school district,4.248
files/miniTrain/common_voice_en_37937553.wav,the front sight is winged and incorporates a bayonet lug,5.688
files/miniTrain/common_voice_en_37931440.wav,the parallels to the french resistance and the nazi occupation are clear however,7.2
files/miniTrain/common_voice_en_37800525.wav,most of bosquets best sellers were published by covered bridge press,5.4
files/miniTrain/common_voice_en_37527521.wav,indiegames dot com is gamasutras sister site dedicated to reporting on indie games,6.768
files/miniTrain/common_voice_en_37482660.wav,this allowed for what today is known as multimedia experiences,6.5520000000000005
files/miniTrain/common_voice_en_37805700.wav,he worked in financial institutions and banking in new jersey,4.248
files/miniTrain/common_voice_en_37984758.wav,porcelain and stoneware are ideal for displaying the surface patterns obtained through saggar firing,7.272
files/miniTrain/common_voice_en_37396012.wav,mary frierson was born in memphis tennessee,4.716
files/miniTrain/common_voice_en_37789528.wav,to the east of the railway station lies a community centre and primary school,5.8320000000000025
files/miniTrain/common_voice_en_38015607.wav,the magazine was formerly headquartered in greensboro north carolina,5.0760000000000005
files/miniTrain/common_voice_en_37553551.wav,this primary contradiction has plagued mankind for millennia,5.22
files/miniTrain/common_voice_en_37395164.wav,it is one of seven fairfield townships statewide,4.176
files/miniTrain/common_voice_en_37365970.wav,in practice the atmospheric extinction and dust reduces this number somewhat,8.1
files/miniTrain/common_voice_en_37868068.wav,bonfires burst out in all in parts of the frame,4.86
files/miniTrain/common_voice_en_37693317.wav,it is published by the alpha newspapers group on wednesdays,4.896
files/miniTrain/common_voice_en_37386459.wav,a trustee board provides strategic direction and vision for the organisation,5.04
files/miniTrain/common_voice_en_37360775.wav,she subsequently wed actor frank lawton with whom she remained married until his death,7.956
files/miniTrain/common_voice_en_37428239.wav,two laymen were martyred along with them,5.4
files/miniTrain/common_voice_en_37807124.wav,she was a castaway on the pagong tribe,5.0760000000000005
files/miniTrain/common_voice_en_37338161.wav,this meant that the traveller would not be discovered with any medication,5.6160000000000005
files/miniTrain/common_voice_en_37564483.wav,we can hardly doubt that the period was determined by astronomical considerations,6.948
files/miniTrain/common_voice_en_37372328.wav,we always have a good time together and this was no exception commented williams,5.0760000000000005
files/miniTrain/common_voice_en_37373069.wav,the adjacent village of cusop lies on the english side of the dulas brook,7.416
files/miniTrain/common_voice_en_37938084.wav,the market was also a venue for banquets exhibitions and other festivals,6.12
files/miniTrain/common_voice_en_37954253.wav,adstone is situated approximately southsoutheast of daventry and westnorthwest of towcester,6.624
files/miniTrain/common_voice_en_37394368.wav,officially locke remained in charge of the department,5.004
files/miniTrain/common_voice_en_37405091.wav,the alliance operated from its own room,3.168
files/miniTrain/common_voice_en_37920783.wav,roast beef is sometimes served with horseradish or horseradish sauce,6.0120000000000005
files/miniTrain/common_voice_en_37976445.wav,it also carries a searchlight nightvision equipment and illuminating paraflares for nighttime operations,9.468
files/miniTrain/common_voice_en_37357234.wav,he decided against making chess his profession choosing law instead,6.228
files/miniTrain/common_voice_en_37521397.wav,the mosque has three access points,3.4560000000000004
files/miniTrain/common_voice_en_37850576.wav,the honey bucket system is used in most of the community,4.896
files/miniTrain/common_voice_en_37687761.wav,most people refer to east shoreham as shoreham,5.22
files/miniTrain/common_voice_en_37461089.wav,like its predecessor the marble index it is an avantgarde album with neoclassical elements,7.704
files/miniTrain/common_voice_en_37892999.wav,she was a rapid writer and her work is consequently discursive animated and formless,6.5520000000000005
files/miniTrain/common_voice_en_38014681.wav,males search for females by letting out highpitched squeals and tunneling through foreign areas,7.487999999999999
files/miniTrain/common_voice_en_37790919.wav,the development of these forces took place in three stages,5.0760000000000005
files/miniTrain/common_voice_en_37578071.wav,mcdowell also cracked some ribs filming the humiliation stage show,5.94
files/miniTrain/common_voice_en_37455760.wav,the initial decision was for battles to feature shifting camera angles,6.228
files/miniTrain/common_voice_en_37411234.wav,hes a practising catholic,4.0680000000000005
files/miniTrain/common_voice_en_37465607.wav,like them he suffers deeply and undergoes many intellectual physical and spiritual journeys,6.336
files/miniTrain/common_voice_en_37465608.wav,to the north lies remington park while to the south is devonshire heights,5.327999999999999
files/miniTrain/common_voice_en_37416747.wav,the screenplay by val guest is based on the play deadlock by leslie sands,7.38
files/miniTrain/common_voice_en_37416749.wav,currently he lives in west nyack new york,6.5520000000000005
files/miniTrain/common_voice_en_37950141.wav,shoeburyness is arranged in a throughstation layout despite being a terminus,8.136000000000001
files/miniTrain/common_voice_en_37950143.wav,somalis have old visual art traditions which include pottery jewelry and wood carving,9.54
files/miniTrain/common_voice_en_37561947.wav,every such villagestate has its special deities generally a god and a goddess,8.1
files/miniTrain/common_voice_en_37623356.wav,a number of free online group collaborations solutions exist,6.3
files/miniTrain/common_voice_en_37924270.wav,sobanokami station has one side platform serving a single bidirectional track,5.6160000000000005
files/miniTrain/common_voice_en_37951962.wav,according to legend the castle was given as a gift to queen dagmar,5.112
files/miniTrain/common_voice_en_37746259.wav,off the ice she has appeared in several marlboro advertisements in russia,6.732
files/miniTrain/common_voice_en_37757570.wav,following this writers began exhorting congress to occupy the oregon territory,6.66
files/miniTrain/common_voice_en_37678235.wav,shops trading posts taverns and other businesses once lined its busy streets,5.148
files/miniTrain/common_voice_en_37678237.wav,younger luandese who speak primarily portuguese have even a wider lexicon of slang,6.768
files/miniTrain/common_voice_en_37483335.wav,popovici street,2.556
files/miniTrain/common_voice_en_37483337.wav,he received a state sponsored funeral,2.88
files/miniTrain/common_voice_en_37362738.wav,he is respected for his ideas intelligence and sharp tongue,4.32
files/miniTrain/common_voice_en_37362740.wav,his son anthony is also a former professional footballer and manager,5.0760000000000005
