path,accents,sentence
common_voice_en_37476269.mp3,United States English,This led to both the Red Terror and the White Terror
common_voice_en_37740889.mp3,England English,Paper wine labels have long been collected
common_voice_en_37607972.mp3,United States English,The number of chime sets matches the number of quarter hours that have passed
common_voice_en_37437567.mp3,United States English,The Atbara flows only while there is rain in Ethiopia and dries very rapidly
common_voice_en_37288403.mp3,United States English,Katsande and her son were accused of voter intimidation
common_voice_en_37306834.mp3,United States English,Data was stored in bigendian format
common_voice_en_37389720.mp3,England English,Gluck is grandmother to actress Stephanie Zimbalist
common_voice_en_37614458.mp3,United States English,She has written about it in The Sun and in Pensions Week
common_voice_en_37433497.mp3,United States English,A basketball was too heavy while the basketball bladder was too light
common_voice_en_37506916.mp3,United States English,It was the first and last time Hitler watched a football match
common_voice_en_37463815.mp3,United States English,The book contains Coleridges celebrated and vexed distinction between imagination and fancy
common_voice_en_37511524.mp3,United States English,Mech looks at hightech policing in the future
common_voice_en_37475392.mp3,United States English,He gives you confidence
common_voice_en_37617995.mp3,England English,Morgan received Figure along with two other horses as payment of a debt
common_voice_en_37543489.mp3,United States English,Amateur champion who went on to play the Champions Tour
common_voice_en_37364201.mp3,United States English,our ability to do good things for people
common_voice_en_37473806.mp3,England English,The band made some recordings with producer Tom Dowd overseeing but they were scrapped
common_voice_en_37506196.mp3,United States English,Eventually Koss dominated the headphone market competing mainly with Telex
common_voice_en_37673682.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Different systems define different sets of digraphs and trigraphs as described below
common_voice_en_37402787.mp3,United States English,Carlos Barbosa were the defending champions
common_voice_en_37406712.mp3,United States English,Tulsita is served by the Pettus Independent School District
common_voice_en_37527521.mp3,United States English,IndieGames dot com is Gamasutras sister site dedicated to reporting on indie games
common_voice_en_37482660.mp3,England English,This allowed for what today is known as multimedia experiences
common_voice_en_37396012.mp3,United States English,Mary Frierson was born in Memphis Tennessee
common_voice_en_37553551.mp3,United States English,This primary contradiction has plagued mankind for millennia
common_voice_en_37395164.mp3,United States English,It is one of seven Fairfield Townships statewide
common_voice_en_37365970.mp3,Canadian English,In practice the atmospheric extinction and dust reduces this number somewhat
common_voice_en_37693317.mp3,England English,It is published by the Alpha Newspapers Group on Wednesdays
common_voice_en_37386459.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",A Trustee Board provides strategic direction and vision for the organisation
common_voice_en_37360775.mp3,United States English,She subsequently wed actor Frank Lawton with whom she remained married until his death
common_voice_en_37428239.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Two laymen were martyred along with them
common_voice_en_37338161.mp3,United States English,This meant that the traveller would not be discovered with any medication
common_voice_en_37564483.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",We can hardly doubt that the period was determined by astronomical considerations
common_voice_en_37372328.mp3,United States English,We always have a good time together and this was no exception commented Williams
common_voice_en_37373069.mp3,United States English,The adjacent village of Cusop lies on the English side of the Dulas Brook
common_voice_en_37394368.mp3,United States English,Officially Locke remained in charge of the department
common_voice_en_37405091.mp3,United States English,The alliance operated from its own room
common_voice_en_37357234.mp3,United States English,He decided against making chess his profession choosing law instead
common_voice_en_37521397.mp3,United States English,The mosque has three access points
common_voice_en_37687761.mp3,United States English,Most people refer to East Shoreham as Shoreham
common_voice_en_37461089.mp3,United States English,Like its predecessor The Marble Index it is an avantgarde album with neoclassical elements
common_voice_en_37578071.mp3,United States English,McDowell also cracked some ribs filming the humiliation stage show
common_voice_en_37455760.mp3,United States English,The initial decision was for battles to feature shifting camera angles
common_voice_en_37411234.mp3,England English,Hes a practising Catholic
common_voice_en_37465607.mp3,United States English,Like them he suffers deeply and undergoes many intellectual physical and spiritual journeys
common_voice_en_37465608.mp3,United States English,To the north lies Remington Park while to the south is Devonshire Heights
common_voice_en_37416747.mp3,United States English,The screenplay by Val Guest is based on the play Deadlock by Leslie Sands
common_voice_en_37416749.mp3,United States English,Currently he lives in West Nyack New York
common_voice_en_37561947.mp3,United States English,Every such villagestate has its special deities generally a god and a goddess
common_voice_en_37623356.mp3,United States English,A number of free online group collaborations solutions exist
common_voice_en_37746259.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Off the ice she has appeared in several Marlboro advertisements in Russia
common_voice_en_37678235.mp3,United States English,Shops trading posts taverns and other businesses once lined its busy streets
common_voice_en_37678237.mp3,United States English,Younger Luandese who speak primarily Portuguese have even a wider lexicon of slang
common_voice_en_37483335.mp3,United States English,Popovici Street
common_voice_en_37483337.mp3,United States English,He received a state sponsored funeral
common_voice_en_37362738.mp3,Malaysian English,He is respected for his ideas intelligence and sharp tongue
common_voice_en_37362740.mp3,Malaysian English,His son Anthony is also a former professional footballer and manager
common_voice_en_37439637.mp3,United States English,The Court has a Chief Justice and eight associate justices
common_voice_en_37439638.mp3,United States English,The J Kimberly Avenue route to Savin Rock and Milford also serves the station
common_voice_en_37338168.mp3,United States English,Currently a NonInscrits he is member of the Committee on Employment and Social Affairs
common_voice_en_37344444.mp3,United States English,He also wrote a few commercial jingles for Frontier Airlines
common_voice_en_37377135.mp3,England English,The child was carried to a priest to be solemnly named by him
common_voice_en_37377139.mp3,England English,The Captain was destined to kill Thomas in accordance to Arthurian lore
common_voice_en_37708079.mp3,United States English,Donner has suffered from prostate and lung cancers
common_voice_en_37708081.mp3,United States English,The pain is ever present
common_voice_en_37619326.mp3,United States English,Examples include silicon and germanium
common_voice_en_37619331.mp3,United States English,Before ascending into the mountains it passes alongside Emigrant Reservoir
common_voice_en_37513699.mp3,United States English,The character Joe Diamond is the fictional representation of Jack Ruby
common_voice_en_37513700.mp3,United States English,Hydrogen can be used for cooking and heating within homes
common_voice_en_37342642.mp3,Canadian English,The schools were derisively called Raikes Ragged School
common_voice_en_37342644.mp3,Canadian English,The movement brought together diverse elements of Brazilian society
common_voice_en_37478074.mp3,United States English,Since then the rebranding happened and Orange Israel became Partner
common_voice_en_37478079.mp3,United States English,The book rapidly climbed the bestseller charts and had a sequel The Messianic Legacy
common_voice_en_37520682.mp3,United States English,This is where drama becomes an invaluable tool
common_voice_en_37646008.mp3,United States English,This painting seems to have drawn inspiration from Christian art and references
common_voice_en_37465298.mp3,United States English,Consequently it also proved to be the turning point
common_voice_en_37465299.mp3,United States English,It is named for the French novelist Marcel Proust
common_voice_en_37620609.mp3,England English,The Mackintoshes acquired it and built the house nearby
common_voice_en_37620612.mp3,England English,It is drawn Wednesday and Saturday nights
